(?:)
(?:)
&#10;	!\n!
&#3459;	ඃ
&#3460;	඄
&#3461;	අ
&#3462;	ආ
&#3463;	ඇ
&#3464;	ඈ
&#3465;	ඉ
&#3466;	ඊ
&#3467;	උ
&#3468;	ඌ
&#3469;	ඍ
&#3470;	ඎ
&#3471;	ඏ
&#3472;	ඐ
&#3473;	එ
&#3474;	ඒ
&#3475;	ඓ
&#3476;	ඔ
&#3477;	ඕ
&#3478;	ඖ
&#3479;	඗
&#3480;	඘
&#3481;	඙
&#3482;	ක
&#3483;	ඛ
&#3484;	ග
&#3485;	ඝ
&#3486;	ඞ
&#3487;	ඟ
&#3488;	ච
&#3489;	ඡ
&#3490;	ජ
&#3491;	ඣ
&#3492;	ඤ
&#3493;	ඥ
&#3494;	ඦ
&#3495;	ට
&#3496;	ඨ
&#3497;	ඩ
&#3498;	ඪ
&#3499;	ණ
&#3500;	ඬ
&#3501;	ත
&#3502;	ථ
&#3503;	ද
&#3504;	ධ
&#3505;	න
&#3506;	඲
&#3507;	ඳ
&#3508;	ප
&#3509;	ඵ
&#3510;	බ
&#3511;	භ
&#3512;	ම
&#3513;	ඹ
&#3514;	ය
&#3515;	ර
&#3516;	඼
&#3517;	ල
&#3518;	඾
&#3519;	඿
&#3520;	ව
&#3521;	ශ
&#3522;	ෂ
&#3523;	ස
&#3524;	හ
&#3525;	ළ
&#3526;	ෆ
&#3527;	෇
&#3528;	෈
&#3529;	෉
&#3530;	්
&#3531;	෋
&#3532;	෌
&#3533;	෍
&#3534;	෎
&#3535;	ා
&#3536;	ැ
&#3537;	ෑ
&#3538;	ි
&#3539;	ී
&#3540;	ු
&#3541;	෕
&#3542;	ූ
&#3543;	෗
&#3544;	ෘ
&#3545;	ෙ
&#3546;	ේ
&#3547;	ෛ
&#3548;	ො
&#3549;	ෝ
&#3550;	ෞ
&#3551;	ෟ
&#3552;	෠
&#3553;	෡
&#3554;	෢
&#3555;	෣
&#3556;	෤
&#3557;	෥
&#3558;	෦
&#3559;	෧
&#3560;	෨
&#3561;	෩
&#3562;	෪
&#3563;	෫
&#3564;	෬
&#3565;	෭
&#3566;	෮
&#3567;	෯
&#3568;	෰
&#3569;	෱
&#3570;	ෲ
&#3571;	ෳ
&#3572;	෴
&#3573;	෵
&#3574;	෶
&#3575;	෷
&#3576;	෸
&#3577;	෹
&#3578;	෺
&#3579;	෻
&#3580;	෼
&#3581;	෽
&#3582;	෾
&#3583;	෿
&#3584;	฀
&#3585;	ก
&#3586;	ข
&#3587;	ฃ
&#3588;	ค
&#3589;	ฅ
&#3590;	ฆ
&#x0E07;	ง
&#3592;	จ
&#3593;	ฉ
&#3594;	ช
&#3595;	ซ
&#3596;	ฌ
&#3597;	ญ
&#3598;	ฎ
&#3599;	ฏ
&#3600;	ฐ
&#3601;	ฑ
&#3602;	ฒ
&#3603;	ณ
&#3604;	ด
&#3605;	ต
&#3606;	ถ
&#3607;	ท
&#3608;	ธ
&#3609;	น
&#3610;	บ
&#3611;	ป
&#3612;	ผ
&#3613;	ฝ
&#3614;	พ
&#3615;	ฟ
&#3616;	ภ
&#3617;	ม
&#3618;	ย
&#x0E23;	ร
&#3620;	ฤ
&#3621;	ล
&#3622;	ฦ
&#3623;	ว
&#3624;	ศ
&#3625;	ษ
&#3626;	ส
&#3627;	ห
&#3628;	ฬ
&#3629;	อ
&#3630;	ฮ
&#3631;	ฯ
&#3632;	ะ
&#3633;	ั
&#3634;	า
&#3635;	ำ
&#x0E34;	ิ
&#3637;	ี
&#3638;	ึ
&#3639;	ื
&#3640;	ุ
&#3641;	ู
&#3642;	ฺ
&#3643;	฻
&#3644;	฼
&#3645;	฽
&#3646;	฾
&#3647;	฿
&#3648;	เ
&#x0E41;	แ
&#3650;	โ
&#3651;	ใ
&#3652;	ไ
&#3653;	ๅ
&#3654;	ๆ
&#3655;	็
&#3656;	่
&#3657;	้
&#3658;	๊
&#3659;	๋
&#3660;	์
&#3661;	ํ
&#3662;	๎
&#3663;	๏
&#3664;	๐
&#3665;	๑
&#3666;	๒
&#3667;	๓
&#3668;	๔
&#3669;	๕
&#3670;	๖
&#3671;	๗
&#3672;	๘
&#3673;	๙
&#3674;	๚
&#3675;	๛
&#3676;	๜
&#3677;	๝
&#3678;	๞
&#3679;	๟
&#3680;	๠
&#3681;	๡
&#3682;	๢
&#3683;	๣
&#3684;	๤
&#3685;	๥
&#3686;	๦
&#3687;	๧
&#3688;	๨
&#3689;	๩
&#3690;	๪
&#3691;	๫
&#3692;	๬
&#3693;	๭
&#3694;	๮
&#3695;	๯
&#3696;	๰
&#3697;	๱
&#3698;	๲
&#3699;	๳
&#3700;	๴
&#3701;	๵
&#3702;	๶
&#3703;	๷
&#3704;	๸
&#3705;	๹
&#3706;	๺
&#3707;	๻
&#3708;	๼
&#3709;	๽
&#3710;	๾
&#3711;	๿
&#3713;	ກ
&#3738;	ບ
&#3742;	ພ
&#3749;	ລ
&#3751;	ວ
&#3754;	ສ
&#3762;	າ
&#3777;	ແ
&#3784;	່
&#3785;	້
&#3789;	ໍ
&#3840;	ༀ
&#3851;	་
&#3906;	ག
&#3920;	ཐ
&#3921;	ད
&#3924;	པ
&#3925;	ཕ
&#3928;	མ
&#3939;	ལ
&#3942;	ས
&#3954;	ི
&#3956;	ུ
&#3962;	ེ
&#x1000;	က
&#4097;	ခ
&#4098;	ဂ
&#4099;	ဃ
&#4100;	င
&#4101;	စ
&#4102;	ဆ
&#4103;	ဇ
&#4104;	ဈ
&#4105;	ဉ
&#4106;	ည
&#4107;	ဋ
&#4108;	ဌ
&#4109;	ဍ
&#4110;	ဎ
&#4111;	ဏ
&#4112;	တ
&#4113;	ထ
&#4114;	ဒ
&#4115;	ဓ
&#4116;	န
&#4117;	ပ
&#4118;	ဖ
&#4119;	ဗ
&#4120;	ဘ
&#4121;	မ
&#4122;	ယ
&#4123;	ရ
&#4124;	လ
&#4125;	ဝ
&#4126;	သ
&#4127;	ဟ
&#4128;	ဠ
&#4129;	အ
&#4130;	ဢ
&#4131;	ဣ
&#4132;	ဤ
&#4133;	ဥ
&#4134;	ဦ
&#4135;	ဧ
&#4136;	ဨ
&#4137;	ဩ
&#4138;	ဪ
&#4139;	ါ
&#4140;	ာ
&#4141;	ိ
&#4142;	ီ
&#4143;	ု
&#4144;	ူ
&#4145;	ေ
&#4146;	ဲ
&#4147;	ဳ
&#4148;	ဴ
&#4149;	ဵ
&#4150;	ံ
&#4151;	့
&#4152;	း
&#4153;	္
&#4154;	်
&#4155;	ျ
&#4156;	ြ
&#4157;	ွ
&#4158;	ှ
&#4159;	ဿ
&#4160;	၀
&#4161;	၁
&#4162;	၂
&#4163;	၃
&#4164;	၄
&#4165;	၅
&#4166;	၆
&#4167;	၇
&#4168;	၈
&#4169;	၉
&#4170;	၊
&#4171;	။
&#4172;	၌
&#4173;	၍
&#4174;	၎
&#4175;	၏
&#4176;	ၐ
&#4177;	ၑ
&#4178;	ၒ
&#4179;	ၓ
&#4180;	ၔ
&#4181;	ၕ
&#4182;	ၖ
&#4183;	ၗ
&#4184;	ၘ
&#4185;	ၙ
&#4186;	ၚ
&#4187;	ၛ
&#4188;	ၜ
&#4189;	ၝ
&#4190;	ၞ
&#4191;	ၟ
&#4192;	ၠ
&#4193;	ၡ
&#4194;	ၢ
&#4195;	ၣ
&#4196;	ၤ
&#4197;	ၥ
&#4198;	ၦ
&#4199;	ၧ
&#4200;	ၨ
&#4201;	ၩ
&#4202;	ၪ
&#4203;	ၫ
&#4204;	ၬ
&#4205;	ၭ
&#4206;	ၮ
&#4207;	ၯ
&#4208;	ၰ
&#4209;	ၱ
&#4210;	ၲ
&#4211;	ၳ
&#4212;	ၴ
&#4213;	ၵ
&#4214;	ၶ
&#4215;	ၷ
&#4216;	ၸ
&#4217;	ၹ
&#4218;	ၺ
&#4219;	ၻ
&#4220;	ၼ
&#4221;	ၽ
&#4222;	ၾ
&#4223;	ၿ
&#4224;	ႀ
&#4225;	ႁ
&#4226;	ႂ
&#4227;	ႃ
&#4228;	ႄ
&#4229;	ႅ
&#4230;	ႆ
&#4231;	ႇ
&#4232;	ႈ
&#4233;	ႉ
&#4234;	ႊ
&#4235;	ႋ
&#4236;	ႌ
&#4237;	ႍ
&#4238;	ႎ
&#4239;	ႏ
&#4240;	႐
&#4241;	႑
&#4242;	႒
&#4243;	႓
&#4244;	႔
&#4245;	႕
&#4246;	႖
&#4247;	႗
&#4248;	႘
&#4249;	႙
&#4250;	ႚ
&#4251;	ႛ
&#4252;	ႜ
&#4253;	ႝ
&#4254;	႞
&#4255;	႟
&#4304;	ა
&#4305;	ბ
&#4306;	გ
&#4307;	დ
&#4308;	ე
&#4309;	ვ
&#4310;	ზ
&#4311;	თ
&#4312;	ი
&#4313;	კ
&#4314;	ლ
&#4315;	მ
&#4316;	ნ
&#4317;	ო
&#4318;	პ
&#4320;	რ
&#4321;	ს
&#4322;	ტ
&#4323;	უ
&#4324;	ფ
&#4325;	ქ
&#4326;	ღ
&#4328;	შ
&#4330;	ც
&#4331;	ძ
&#4332;	წ
&#4334;	ხ
&#4336;	ჰ
&#4618;	ሊ
&#4619;	ላ
&#4629;	ሕ
&#4635;	ማ
&#4638;	ሞ
&#4650;	ሪ
&#4651;	ራ
&#4653;	ር
&#4658;	ሲ
&#4661;	ስ
&#4672;	ቀ
&#x1248;	ቈ
&#4688;	ቐ
&#4704;	በ
&#4707;	ባ
&#4709;	ብ
&#4725;	ት
&#x1288;	ኈ
&#4763;	ኛ
&#4768;	አ
&#4770;	ኢ
&#4781;	ክ
&#x12b0;	ኰ
&#4810;	ዊ
&#4840;	የ
&#4843;	ያ
&#4845;	ይ
&#4846;	ዮ
&#4848;	ደ
&#4850;	ዲ
&#x1310;	ጐ
&#x1330;	ጰ
&#4917;	ጵ
&#4936;	ፈ
&#x1350;	ፐ
&#4961;	፡
&#5123;	ᐃ
&#5125;	ᐅ
&#5130;	ᐊ
&#5134;	ᐎ
&#5136;	ᐐ
&#5152;	ᐠ
&#5157;	ᐥ
&#5167;	ᐯ
&#5169;	ᐱ
&#5176;	ᐸ
&#5198;	ᑎ
&#5200;	ᑐ
&#5201;	ᑑ
&#5205;	ᑕ
&#5206;	ᑖ
&#5222;	ᑦ
&#5229;	ᑭ
&#5231;	ᑯ
&#5234;	ᑲ
&#5235;	ᑳ
&#5251;	ᒃ
&#5265;	ᒑ
&#5281;	ᒡ
&#5285;	ᒥ
&#5287;	ᒧ
&#5290;	ᒪ
&#5314;	ᓂ
&#5316;	ᓄ
&#5319;	ᓇ
&#5320;	ᓈ
&#5328;	ᓐ
&#5333;	ᓕ
&#5334;	ᓖ
&#5335;	ᓗ
&#5336;	ᓘ
&#5338;	ᓚ
&#5339;	ᓛ
&#5354;	ᓪ
&#5359;	ᓯ
&#5361;	ᓱ
&#5362;	ᓲ
&#5364;	ᓴ
&#5393;	ᔑ
&#5417;	ᔩ
&#5418;	ᔪ
&#5421;	ᔭ
&#5422;	ᔮ
&#5438;	ᔾ
&#5451;	ᕋ
&#5456;	ᕐ
&#5461;	ᕕ
&#5463;	ᕗ
&#5503;	ᕿ
&#5505;	ᖁ
&#5507;	ᖃ
&#5509;	ᖅ
&#5519;	ᖏ
&#5525;	ᖕ
&#5536;	ᖠ
&#5542;	ᖦ
&#5745;	ᙱ
&#5749;	ᙵ
&#5800;	ᚨ
&#5809;	ᚱ
&#5810;	ᚲ
&#5815;	ᚷ
&#5817;	ᚹ
&#5818;	ᚺ
&#5822;	ᚾ
&#5825;	ᛁ
&#5827;	ᛃ
&#5831;	ᛇ
&#5832;	ᛈ
&#5833;	ᛉ
&#5834;	ᛊ
&#5835;	ᛋ
&#5839;	ᛏ
&#5842;	ᛒ
&#5846;	ᛖ
&#5850;	ᛚ
&#5852;	ᛜ
&#5853;	ᛝ
&#5854;	ᛞ
&#5855;	ᛟ
&#5888;	ᜀ
&#5889;	ᜁ
&#5890;	ᜂ
&#5891;	ᜃ
&#5892;	ᜄ
&#5893;	ᜅ
&#5894;	ᜆ
&#5895;	ᜇ
&#5896;	ᜈ
&#5897;	ᜉ
&#5898;	ᜊ
&#5899;	ᜋ
&#5900;	ᜌ
&#5901;	ᜍ
&#5902;	ᜎ
&#5903;	ᜏ
&#5904;	ᜐ
&#5905;	ᜑ
&#5906;	ᜒ
&#5907;	ᜓ
&#5908;	᜔
&#5909;	᜕
&#5910;	᜖
&#5911;	᜗
&#5912;	᜘
&#5913;	᜙
&#5914;	᜚
&#5915;	᜛
&#5916;	᜜
&#5917;	᜝
&#5918;	᜞
&#5919;	ᜟ
&#6016;	ក
&#6020;	ង
&#6026;	ដ
&#6031;	ត
&#6033;	ទ
&#6035;	ន
&#6036;	ប
&#6040;	ម
&#6042;	រ
&#6047;	ស
&#6069;	឵
&#6071;	ិ
&#6073;	ឹ
&#6082;	ែ
&#6083;	ៃ
&#6091;	់
&#6098;	្
&#6150;	᠆
&#6176;	ᠠ
&#6177;	ᠡ
&#6179;	ᠣ
&#6180;	ᠤ
&#6181;	ᠥ
&#6182;	ᠦ
&#6184;	ᠨ
&#6186;	ᠪ
&#6188;	ᠬ
&#6190;	ᠮ
&#6191;	ᠯ
&#6192;	ᠰ
&#6194;	ᠲ
&#6197;	ᠵ
&#6199;	ᠷ
&#6202;	ᠺ
&#6240;	ᡠ
&#7569;	ᶑ
&#7687;	ḇ
&#7693;	ḍ
&#7695;	ḏ
&#7696;	Ḑ
&#7697;	ḑ
&#x1e17;	ḗ
&#7710;	Ḟ
&#7711;	ḟ
&#7713;	ḡ
&#7716;	Ḥ
&#7717;	ḥ
&#7720;	Ḩ
&#7721;	ḩ
&#7722;	Ḫ
&#7723;	ḫ
&#7730;	Ḳ
&#7731;	ḳ
&#7733;	ḵ
&#7735;	ḷ
&#7745;	ṁ
&#7747;	ṃ
&#7749;	ṅ
&#7751;	ṇ
&#7767;	ṗ
&#x1e5b;	ṛ
&#7773;	ṝ
&#7776;	Ṡ
&#7777;	ṡ
&#x1e62;	Ṣ
&#x1e63;	ṣ
&#7780;	Ṥ
&#7781;	ṥ
&#7782;	Ṧ
&#7783;	ṧ
&#7784;	Ṩ
&#7785;	ṩ
&#7788;	Ṭ
&#7789;	ṭ
&#7791;	ṯ
&#7826;	Ẓ
&#7827;	ẓ
&#7830;	ẖ
&#7841;	ạ
&#7843;	ả
&#7845;	ấ
&#7847;	ầ
&#7849;	ẩ
&#7851;	ẫ
&#7853;	ậ
&#7855;	ắ
&#7857;	ằ
&#7863;	ặ
&#7865;	ẹ
&#7869;	ẽ
&#7871;	ế
&#7873;	ề
&#7875;	ể
&#x1ec5;	ễ
&#7879;	ệ
&#7881;	ỉ
&#7883;	ị
&#7885;	ọ
&#7887;	ỏ
&#7889;	ố
&#7891;	ồ
&#7893;	ổ
&#7897;	ộ
&#7899;	ớ
&#7901;	ờ
&#7903;	ở
&#7907;	ợ
&#7909;	ụ
&#7911;	ủ
&#7912;	Ứ
&#7913;	ứ
&#7915;	ừ
&#7917;	ử
&#7919;	ữ
&#7921;	ự
&#7925;	ỵ
&#7927;	ỷ
&#7929;	ỹ
&#7936;	ἀ
&#7937;	ἁ
&#7939;	ἃ
&#7940;	ἄ
&#7941;	ἅ
&#7944;	Ἀ
&#7945;	Ἁ
&#7947;	Ἃ
&#7948;	Ἄ
&#x1F0D;	Ἅ
&#7952;	ἐ
&#7953;	ἑ
&#7954;	ἒ
&#x1f14;	ἔ
&#7957;	ἕ
&#7960;	Ἐ
&#x1F19;	Ἑ
&#7962;	Ἒ
&#7965;	Ἕ
&#7969;	ἡ
&#7970;	ἢ
&#7973;	ἥ
&#x1F28;	Ἠ
&#7977;	Ἡ
&#7981;	Ἥ
&#7984;	ἰ
&#7985;	ἱ
&#7987;	ἳ
&#7988;	ἴ
&#7990;	ἶ
&#7992;	Ἰ
&#7993;	Ἱ
&#7995;	Ἳ
&#8000;	ὀ
&#8001;	ὁ
&#8004;	ὄ
&#8005;	ὅ
&#8009;	Ὁ
&#8010;	Ὂ
&#x1F4C;	Ὄ
&#8013;	Ὅ
&#8016;	ὐ
&#8017;	ὑ
&#8021;	ὕ
&#8025;	Ὑ
&#8033;	ὡ
&#8036;	ὤ
&#8038;	ὦ
&#8041;	Ὡ
&#8048;	ὰ
&#8049;	ά
&#8050;	ὲ
&#8051;	έ
&#8052;	ὴ
&#8053;	ή
&#8054;	ὶ
&#x1f77;	ί
&#8056;	ὸ
&#x1f79;	ό
&#8058;	ὺ
&#x1f7b;	ύ
&#8061;	ώ
&#8115;	ᾳ
&#8118;	ᾶ
&#8124;	ᾼ
&#8131;	ῃ
&#x1fc6;	ῆ
&#8135;	ῇ
&#8140;	ῌ
&#8150;	ῖ
&#8161;	ῡ
&#8164;	ῤ
&#8165;	ῥ
&#8166;	ῦ
&#8172;	Ῥ
&#8179;	ῳ
&#8182;	ῶ
&#8183;	ῷ
&#8188;	ῼ
&#x1ffe;	῾
&#x2007;	 
&#x2009;	 
&#8202;	 
&#x200b;	​
&#8204;	‌
&#8205;	‍
&#8206;	‎
&#8207;	‏
&#x2010;	‐
&#8209;	‑
&#8210;	‒
&#x2013;	–
&#8212;	—
&#8213;	―
&#8214;	‖
&#8216;	‘
&#8217;	’
&#8219;	‛
&#8220;	“
&#8221;	”
&#8224;	†
&#8225;	‡
&#8226;	•
&#x2023;	‣
&#8230;	…
&#8231;	‧
&#8236;	‬
&#8238;	‮
&#8240;	‰
&#x2032;	′
&#8243;	″
&#8249;	‹
&#x203A;	›
&#8251;	※
&#8253;	‽
&#x203E;	‾
&#8255;	‿
&#x2042;	⁂
&#8259;	⁃
&#8260;	⁄
&#8275;	⁓
&#8304;	⁰
&#x2071;	ⁱ
&#8308;	⁴
&#8309;	⁵
&#8310;	⁶
&#8311;	⁷
&#8312;	⁸
&#8313;	⁹
&#8319;	ⁿ
&#8320;	₀
&#8321;	₁
&#8322;	₂
&#8323;	₃
&#8324;	₄
&#8325;	₅
&#8326;	₆
&#8327;	₇
&#8328;	₈
&#8329;	₉
&#8355;	₣
&#X20A4;	₤
&#X20A7;	₧
&#8360;	₨
&#8361;	₩
&#8362;	₪
&#8363;	₫
&#8364;	€
&#x20AF;	₯
&#X20B1;	₱
&#8411;	⃛
&#8450;	ℂ
&#8457;	℉
&#8461;	ℍ
&#8462;	ℎ
&#8463;	ℏ
&#8467;	ℓ
&#x2114;	℔
&#8469;	ℕ
&#8470;	№
&#8473;	ℙ
&#8474;	ℚ
&#8475;	ℛ
&#8476;	ℜ
&#8477;	ℝ
&#8478;	℞
&#8482;	™
&#8484;	ℤ
&#8485;	℥
&#x2126;	Ω
&#x2127;	℧
&#x212A;	K
&#x212B;	Å
&#x212E;	℮
&#8497;	ℱ
&#8498;	Ⅎ
&#x2153;	⅓
&#8532;	⅔
&#8544;	Ⅰ
&#8545;	Ⅱ
&#8546;	Ⅲ
&#8547;	Ⅳ
&#8548;	Ⅴ
&#8549;	Ⅵ
&#8550;	Ⅶ
&#8551;	Ⅷ
&#8552;	Ⅸ
&#8553;	Ⅹ
&#8554;	Ⅺ
&#8555;	Ⅻ
&#8560;	ⅰ
&#8561;	ⅱ
&#8562;	ⅲ
&#8563;	ⅳ
&#8564;	ⅴ
&#8565;	ⅵ
&#8566;	ⅶ
&#8567;	ⅷ
&#8568;	ⅸ
&#8569;	ⅹ
&#8570;	ⅺ
&#8571;	ⅻ
&#x2190;	←
&#x2191;	↑
&#8594;	→
&#x2193;	↓
&#8596;	↔
&#8629;	↵
&#8652;	⇌
&#8660;	⇔
&#8706;	∂
&#8710;	∆
&#8711;	∇
&#8712;	∈
&#8718;	∎
&#x2212;	−
&#8725;	∕
&#x2218;	∘
&#8729;	∙
&#8730;	√
&#8731;	∛
&#8734;	∞
&#x2223;	∣
&#8741;	∥
&#x2227;	∧
&#x2228;	∨
&#x2229;	∩
&#x222A;	∪
&#8747;	∫
&#8756;	∴
&#x2236;	∶
&#8764;	∼
&#8768;	≀
&#8776;	≈
&#x2260;	≠
&#8801;	≡
&#x2264;	≤
&#8805;	≥
&#x226a;	≪
&#x226b;	≫
&#x226C;	≬
&#x2282;	⊂
&#x2283;	⊃
&#x2287;	⊇
&#8851;	⊓
&#8853;	⊕
&#8855;	⊗
&#8857;	⊙
&#x22A2;	⊢
&#8868;	⊤
&#x22A5;	⊥
&#x22A7;	⊧
&#8872;	⊨
&#x22bb;	⊻
&#x22c3;	⋃
&#x22c5;	⋅
&#x22C6;	⋆
&#x22c9;	⋉
&#x22ca;	⋊
&#x22cb;	⋋
&#x22cc;	⋌
&#8960;	⌀
&#x2308;	⌈
&#x230A;	⌊
&#8984;	⌘
&#x2325;	⌥
&#9001;	〈
&#9002;	〉
&#9004;	⌬
&#9014;	⌶
&#9015;	⌷
&#9016;	⌸
&#9017;	⌹
&#9018;	⌺
&#9019;	⌻
&#9020;	⌼
&#9021;	⌽
&#9022;	⌾
&#9023;	⌿
&#9024;	⍀
&#9025;	⍁
&#9026;	⍂
&#9027;	⍃
&#9028;	⍄
&#9029;	⍅
&#9030;	⍆
&#9031;	⍇
&#9032;	⍈
&#9033;	⍉
&#9034;	⍊
&#9035;	⍋
&#9036;	⍌
&#9037;	⍍
&#9038;	⍎
&#9039;	⍏
&#9040;	⍐
&#9041;	⍑
&#9042;	⍒
&#9043;	⍓
&#9044;	⍔
&#9045;	⍕
&#9046;	⍖
&#9047;	⍗
&#9048;	⍘
&#9049;	⍙
&#9050;	⍚
&#9051;	⍛
&#9052;	⍜
&#9053;	⍝
&#9054;	⍞
&#9055;	⍟
&#9056;	⍠
&#9057;	⍡
&#9058;	⍢
&#9059;	⍣
&#9060;	⍤
&#9061;	⍥
&#9062;	⍦
&#9063;	⍧
&#9064;	⍨
&#9065;	⍩
&#9066;	⍪
&#9067;	⍫
&#9068;	⍬
&#9069;	⍭
&#9070;	⍮
&#9071;	⍯
&#9072;	⍰
&#9073;	⍱
&#9074;	⍲
&#9075;	⍳
&#9076;	⍴
&#9077;	⍵
&#9078;	⍶
&#9079;	⍷
&#9080;	⍸
&#9081;	⍹
&#9082;	⍺
&#x2395;	⎕
&#9216;	␀
&#9217;	␁
&#9218;	␂
&#9219;	␃
&#9220;	␄
&#9221;	␅
&#9222;	␆
&#9223;	␇
&#9224;	␈
&#9225;	␉
&#9226;	␊
&#9227;	␋
&#9228;	␌
&#9229;	␍
&#9230;	␎
&#9231;	␏
&#9232;	␐
&#9233;	␑
&#9234;	␒
&#9235;	␓
&#9236;	␔
&#9237;	␕
&#9238;	␖
&#9239;	␗
&#9240;	␘
&#9241;	␙
&#9242;	␚
&#9243;	␛
&#9244;	␜
&#9245;	␝
&#9246;	␞
&#9247;	␟
&#9248;	␠
&#9249;	␡
&#9251;	␣
&#9318;	⑦
&#9377;	⒡
&#9403;	Ⓕ
&#9408;	Ⓚ
&#9410;	Ⓜ
&#9413;	Ⓟ
&#x24CA;	Ⓤ
&#9429;	ⓕ
&#9500;	├
&#9553;	║
&#9571;	╣
&#9580;	╬
&#x2573;	╳
&#09608;	█
&#9617;	░
&#9618;	▒
&#09619;	▓
&#9632;	■
&#9633;	□
&#9651;	△
&#9671;	◇
&#x25CB;	○
&#x25CC;	◌
&#9689;	◙
&#9732;	☄
&#9733;	★
&#9734;	☆
&#9737;	☉
&#9738;	☊
&#9739;	☋
&#9740;	☌
&#9741;	☍
&#x260E;	☎
&#9743;	☏
&#9762;	☢
&#x2623;	☣
&#9767;	☧
&#x2628;	☨
&#x262B;	☫
&#x262D;	☭
&#9774;	☮
&#9775;	☯
&#9776;	☰
&#9777;	☱
&#9778;	☲
&#9779;	☳
&#9780;	☴
&#9781;	☵
&#9782;	☶
&#9783;	☷
&#x2638;	☸
&#9786;	☺
&#9787;	☻
&#9789;	☽
&#9790;	☾
&#x263F;	☿
&#x2640;	♀
&#x2641;	♁
&#9794;	♂
&#x2643;	♃
&#x2644;	♄
&#x2645;	♅
&#9798;	♆
&#x2647;	♇
&#9800;	♈
&#9801;	♉
&#9802;	♊
&#9803;	♋
&#9804;	♌
&#9805;	♍
&#9806;	♎
&#9807;	♏
&#9808;	♐
&#9809;	♑
&#9810;	♒
&#9811;	♓
&#9812;	♔
&#9813;	♕
&#9814;	♖
&#9815;	♗
&#9816;	♘
&#9817;	♙
&#9818;	♚
&#9819;	♛
&#9820;	♜
&#9821;	♝
&#9822;	♞
&#9823;	♟
&#x2660;	♠
&#x2661;	♡
&#9827;	♣
&#9829;	♥
&#9830;	♦
&#x266d;	♭
&#9838;	♮
&#x266F;	♯
&#9848;	♸
&#9990;	✆
&#x2709;	✉
&#x270D;	✍
&#9998;	✎
&#9999;	✏
&#x2713;	✓
&#x2715;	✕
&#x2717;	✗
&#x2718;	✘
&#x2721;	✡
&#x274B;	❋
&#x2777;	❷
&#x2778;	❸
&#x2779;	❹
&#x277a;	❺
&#x277b;	❻
&#x277c;	❼
&#10149;	➥
&#x2801;	⠁
&#x2802;	⠂
&#x2803;	⠃
&#x2805;	⠅
&#x2806;	⠆
&#x2807;	⠇
&#x2809;	⠉
&#x280A;	⠊
&#x280B;	⠋
&#x280D;	⠍
&#x280E;	⠎
&#x280F;	⠏
&#x2811;	⠑
&#x2813;	⠓
&#x2815;	⠕
&#x2816;	⠖
&#x2817;	⠗
&#x2819;	⠙
&#x281A;	⠚
&#x281B;	⠛
&#x281D;	⠝
&#x281E;	⠞
&#x281F;	⠟
&#x2820;	⠠
&#x2824;	⠤
&#x2825;	⠥
&#x2826;	⠦
&#x2827;	⠧
&#x282D;	⠭
&#x2832;	⠲
&#x2834;	⠴
&#x2835;	⠵
&#x2836;	⠶
&#x283A;	⠺
&#x283C;	⠼
&#x283D;	⠽
&#10747;	⧻
&#x2A2F;	⨯
&#x2C00;	Ⰰ
&#x2C01;	Ⰱ
&#x2C02;	Ⰲ
&#x2C03;	Ⰳ
&#x2C04;	Ⰴ
&#x2C05;	Ⰵ
&#x2C06;	Ⰶ
&#x2C07;	Ⰷ
&#x2C08;	Ⰸ
&#x2C09;	Ⰹ
&#x2C0A;	Ⰺ
&#x2C0B;	Ⰻ
&#x2C0C;	Ⰼ
&#x2C0D;	Ⰽ
&#x2C0E;	Ⰾ
&#x2C0F;	Ⰿ
&#x2C10;	Ⱀ
&#x2C11;	Ⱁ
&#x2C12;	Ⱂ
&#x2C13;	Ⱃ
&#x2C14;	Ⱄ
&#x2C15;	Ⱅ
&#x2C16;	Ⱆ
&#x2C17;	Ⱇ
&#x2C18;	Ⱈ
&#x2C19;	Ⱉ
&#x2C1B;	Ⱋ
&#x2C1C;	Ⱌ
&#x2C1D;	Ⱍ
&#x2C1E;	Ⱎ
&#x2C1F;	Ⱏ
&#x2C20;	Ⱐ
&#x2C21;	Ⱑ
&#x2C23;	Ⱓ
&#x2C24;	Ⱔ
&#x2C26;	Ⱖ
&#x2C27;	Ⱗ
&#x2C28;	Ⱘ
&#x2C29;	Ⱙ
&#x2C2A;	Ⱚ
&#x2C2B;	Ⱛ
&#x2C80;	Ⲁ
&#x2C81;	ⲁ
&#x2C82;	Ⲃ
&#x2C83;	ⲃ
&#x2C84;	Ⲅ
&#x2C85;	ⲅ
&#x2C86;	Ⲇ
&#x2C87;	ⲇ
&#x2C88;	Ⲉ
&#x2C89;	ⲉ
&#x2C8A;	Ⲋ
&#x2C8B;	ⲋ
&#x2C8C;	Ⲍ
&#x2C8D;	ⲍ
&#x2C8E;	Ⲏ
&#x2C8F;	ⲏ
&#x2C90;	Ⲑ
&#x2C91;	ⲑ
&#x2C92;	Ⲓ
&#x2C93;	ⲓ
&#x2C94;	Ⲕ
&#x2C95;	ⲕ
&#x2C96;	Ⲗ
&#x2C97;	ⲗ
&#x2C98;	Ⲙ
&#x2C99;	ⲙ
&#x2C9A;	Ⲛ
